study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score,placement_status
7,56,8,7,10,62.0,100.0,Placed
4,69,5,3,8,56.0,100.0,Placed
11,60,7,6,10,45.0,100.0,Placed
8,99,9,8,4,55.0,90.17,Placed
5,52,8,6,8,40.0,78.82,Placed
7,40,9,10,0,60.0,72.33,Placed
10,40,4,11,9,50.0,98.12,Placed
3,86,7,3,7,85.0,100.0,Placed
7,72,8,5,18,48.0,96.81,Placed
11,77,4,9,15,69.0,100.0,Placed
11,64,8,8,12,76.0,100.0,Placed
8,65,5,6,4,87.0,100.0,Placed
5,52,6,9,17,89.0,95.36,Placed
4,98,9,2,8,70.0,100.0,Placed
8,67,8,11,3,56.0,83.49,Placed
8,72,7,9,13,87.0,100.0,Placed
3,76,8,10,6,36.0,63.26,Not Placed
6,80,8,10,11,47.0,91.89,Placed
5,69,8,6,6,45.0,73.69,Placed
2,96,8,9,10,46.0,77.59,Placed
8,88,7,4,14,67.0,100.0,Placed
6,87,7,5,6,56.0,77.19,Placed
2,47,8,2,19,87.0,98.66,Placed
5,88,6,3,16,43.0,100.0,Placed
1,86,8,1,4,78.0,91.65,Placed
10,95,9,4,7,41.0,100.0,Placed
6,40,9,2,9,51.0,95.6,Placed
9,51,7,2,5,95.0,100.0,Placed
1,44,9,1,20,44.0,76.12,Placed
11,63,9,10,1,72.0,96.59,Placed
11,45,5,2,4,93.0,100.0,Placed
10,64,8,4,9,73.0,100.0,Placed
3,40,8,6,2,85.0,75.73,Placed
7,64,8,7,12,80.0,98.68,Placed
4,40,8,7,15,59.0,63.2,Not Placed
9,71,4,7,14,61.0,100.0,Placed
3,81,8,4,1,64.0,79.7,Placed
5,81,7,5,2,64.0,63.65,Not Placed
3,42,7,11,19,77.0,78.22,Placed
7,88,4,3,17,68.0,100.0,Placed
5,58,8,1,19,67.0,100.0,Placed
9,99,6,8,19,66.0,100.0,Placed
7,82,8,10,14,92.0,100.0,Placed
2,68,7,11,4,76.0,55.39,Not Placed
4,89,5,7,10,46.0,90.41,Placed
9,41,9,9,2,75.0,86.67,Placed
2,48,5,10,8,57.0,66.93,Not Placed
10,95,6,4,6,92.0,100.0,Placed
9,56,8,5,1,63.0,100.0,Placed
10,99,4,5,14,77.0,100.0,Placed
5,85,8,7,11,35.0,82.35,Placed
2,75,6,9,15,54.0,65.43,Not Placed
4,100,6,8,15,44.0,100.0,Placed
7,56,9,7,15,95.0,100.0,Placed
8,88,6,1,18,53.0,100.0,Placed
3,51,5,10,2,93.0,81.7,Placed
1,99,9,6,19,57.0,100.0,Placed
4,59,8,10,3,55.0,80.04,Placed
2,89,8,9,0,91.0,69.17,Not Placed
8,42,4,7,7,77.0,91.55,Placed
4,82,6,1,14,69.0,100.0,Placed
2,96,6,9,20,93.0,93.77,Placed
6,89,7,3,4,82.0,100.0,Placed
6,43,9,9,19,66.0,94.47,Placed
10,56,7,4,11,88.0,100.0,Placed
4,89,9,9,19,44.0,87.79,Placed
6,76,5,8,19,36.0,94.36,Placed
2,85,9,7,3,85.0,79.22,Placed
10,81,8,4,14,70.0,100.0,Placed
2,54,4,9,5,82.0,75.9,Placed
10,72,9,4,4,40.0,97.31,Placed
4,55,9,1,10,77.0,79.43,Placed
8,50,9,6,13,51.0,90.85,Placed
7,94,4,4,10,49.0,79.2,Placed
9,59,6,10,8,88.0,94.64,Placed
8,77,4,3,9,70.0,100.0,Placed
5,63,6,5,5,58.0,81.79,Placed
2,100,8,3,10,91.0,100.0,Placed
5,93,4,11,8,74.0,78.06,Placed
8,55,6,9,4,90.0,88.14,Placed
10,69,8,6,9,95.0,100.0,Placed
9,73,8,3,19,63.0,100.0,Placed
9,40,6,5,13,84.0,100.0,Placed
1,63,6,8,5,48.0,58.42,Not Placed
9,63,5,8,3,92.0,91.0,Placed
7,48,8,6,20,36.0,74.11,Placed
9,61,6,5,9,82.0,100.0,Placed
8,51,8,5,10,56.0,100.0,Placed
1,56,4,1,15,81.0,81.53,Placed
8,64,7,2,6,87.0,100.0,Placed
8,67,7,11,17,40.0,100.0,Placed
11,100,9,4,6,43.0,100.0,Placed
3,54,6,6,20,46.0,52.47,Not Placed
1,69,6,11,14,76.0,54.6,Not Placed
8,90,8,7,18,73.0,100.0,Placed
3,66,9,1,17,39.0,95.63,Placed
3,61,6,8,14,92.0,100.0,Placed
1,49,8,1,17,89.0,100.0,Placed
11,100,6,9,2,74.0,100.0,Placed
5,97,8,4,0,93.0,83.41,Placed
10,70,6,7,0,78.0,93.78,Placed
7,66,5,11,6,35.0,58.75,Not Placed
10,51,8,6,9,44.0,96.83,Placed
9,85,5,9,11,45.0,81.65,Placed
7,70,5,2,7,61.0,91.93,Placed
9,71,5,11,16,57.0,83.67,Placed
8,71,5,7,13,54.0,92.53,Placed
2,80,4,11,16,39.0,80.98,Placed
1,98,9,5,20,47.0,87.38,Placed
7,84,7,7,5,84.0,92.97,Placed
7,74,4,1,19,44.0,100.0,Placed
8,92,6,11,16,87.0,100.0,Placed
5,100,6,11,19,91.0,100.0,Placed
3,85,9,10,7,83.0,79.25,Placed
8,60,7,9,12,85.0,99.19,Placed
6,49,7,1,15,70.0,100.0,Placed
11,55,7,5,11,75.0,100.0,Placed
3,46,5,8,16,84.0,76.5,Placed
1,43,4,1,17,50.0,67.23,Not Placed
3,66,6,7,7,41.0,42.95,Not Placed
5,91,4,2,17,66.0,100.0,Placed
3,94,4,7,10,59.0,80.42,Placed
1,64,4,7,12,78.0,80.7,Placed
5,70,7,9,11,60.0,76.84,Placed
10,50,9,6,14,70.0,100.0,Placed
7,87,9,4,2,87.0,100.0,Placed
7,59,7,7,2,62.0,61.18,Not Placed
11,75,6,7,5,78.0,96.23,Placed
9,93,6,4,2,46.0,97.52,Placed
10,93,6,2,8,60.0,100.0,Placed
10,94,9,11,10,38.0,100.0,Placed
3,56,9,9,7,78.0,68.4,Not Placed
7,84,4,8,3,57.0,64.42,Not Placed
1,50,7,5,19,74.0,89.89,Placed
4,69,5,5,14,58.0,86.57,Placed
4,74,4,1,4,65.0,57.59,Not Placed
5,80,8,11,6,64.0,80.41,Placed
7,77,9,9,7,37.0,100.0,Placed
7,61,4,11,6,50.0,76.1,Placed
11,92,7,10,7,68.0,100.0,Placed
4,82,8,11,3,72.0,78.37,Placed
7,87,4,8,0,62.0,75.24,Placed
11,90,7,5,4,83.0,100.0,Placed
3,66,7,10,10,78.0,68.74,Not Placed
6,76,9,6,3,75.0,100.0,Placed
2,85,5,10,1,82.0,53.86,Not Placed
10,88,4,11,16,41.0,100.0,Placed
9,74,7,10,11,42.0,99.95,Placed
5,43,6,8,1,41.0,64.74,Not Placed
6,55,7,6,8,87.0,100.0,Placed
4,55,5,10,5,71.0,51.16,Not Placed
11,60,7,4,5,89.0,100.0,Placed
10,65,9,3,17,41.0,100.0,Placed
7,96,4,7,2,84.0,100.0,Placed
9,75,9,2,14,52.0,100.0,Placed
7,58,4,7,6,82.0,77.41,Placed
1,97,8,1,12,73.0,80.46,Placed
1,56,4,10,9,55.0,52.3,Not Placed
9,84,8,5,3,68.0,100.0,Placed
11,65,9,9,15,83.0,100.0,Placed
9,61,6,1,8,91.0,100.0,Placed
4,94,5,8,20,61.0,97.87,Placed
9,97,6,9,9,42.0,95.55,Placed
3,95,8,9,18,68.0,97.57,Placed
7,67,7,8,16,52.0,78.95,Placed
6,40,7,4,0,85.0,69.63,Not Placed
8,83,6,7,12,86.0,100.0,Placed
11,75,7,1,3,75.0,100.0,Placed
9,82,8,7,14,46.0,100.0,Placed
5,76,9,6,9,56.0,100.0,Placed
1,41,5,5,19,85.0,93.55,Placed
3,56,4,1,8,74.0,69.9,Not Placed
10,79,8,8,7,56.0,100.0,Placed
8,77,8,10,19,42.0,100.0,Placed
11,60,4,1,5,76.0,100.0,Placed
6,100,4,1,9,62.0,98.75,Placed
8,48,5,3,19,84.0,100.0,Placed
9,52,5,8,16,81.0,100.0,Placed
4,50,5,8,4,90.0,64.38,Not Placed
1,100,7,7,13,66.0,83.93,Placed
1,55,8,5,16,45.0,72.47,Placed
10,55,9,8,10,55.0,98.05,Placed
4,98,4,2,3,60.0,65.9,Not Placed
7,41,8,8,16,48.0,94.97,Placed
2,81,8,11,1,49.0,65.41,Not Placed
3,83,5,2,20,48.0,95.34,Placed
1,47,5,10,0,46.0,26.89,Not Placed
5,82,8,5,17,70.0,100.0,Placed
1,81,5,11,6,37.0,46.59,Not Placed
8,52,7,4,5,78.0,93.02,Placed
1,96,4,1,5,91.0,54.25,Not Placed
11,56,8,5,13,92.0,100.0,Placed
1,78,4,7,11,41.0,71.51,Placed
2,63,7,1,13,73.0,100.0,Placed
2,42,5,2,13,88.0,95.76,Placed
6,69,6,9,11,91.0,88.38,Placed
7,91,7,5,8,85.0,100.0,Placed
5,52,6,7,8,80.0,79.31,Placed
1,58,4,2,1,35.0,38.92,Not Placed
1,46,8,7,17,73.0,67.08,Not Placed
3,48,5,7,4,59.0,62.79,Not Placed
2,58,7,7,11,65.0,60.81,Not Placed
5,84,5,5,13,56.0,68.09,Not Placed
10,93,6,9,12,44.0,100.0,Placed
6,79,6,2,2,52.0,55.51,Not Placed
7,61,9,4,14,47.0,91.22,Placed
4,57,8,2,14,42.0,90.5,Placed
